group,connector_reference,cavity,net,source_DK_contact,wire_role,ground_return,assembly_control
SPI,JH_SPI,1,IMU_SPI_SCK,CN12-6,clock,CN12-7 adjacent in cavity 2,"Label SCK; verify continuity"
SPI,JH_SPI,2,GND_SPI,CN12-7,ground,primary SPI return,"Black wire; continuity to DK GND only"
SPI,JH_SPI,3,IMU_SPI_MISO,CN12-5,data,CN8-6A adjacent in cavity 4,"Label MISO; verify direction at both ends"
SPI,JH_SPI,4,GND_SPI_AUX,CN8-6 branch A,ground,auxiliary SPI return,"Black wire; branch is made only on CN8 breakout"
SPI,JH_SPI,5,IMU_SPI_MOSI,CN12-4,data,Cavity 4 nearby,"Label MOSI; verify direction at both ends"
SPI,JH_SPI,6,DNC_SPARE,NONE,empty cavity,NONE,"NO TERMINAL / NO WIRE / DNC"
CS,JH_CS,1,IMU_THUMB_CS_N,CN12-3,chip select,Cavity 2 ground,"Label CS1 THUMB"
CS,JH_CS,2,GND_CS,CN8-6 branch B,ground,CS bundle return,"Black wire; branch is made only on CN8 breakout"
CS,JH_CS,3,IMU_INDEX_CS_N,CN12-2,chip select,Cavity 2 nearby,"Label CS2 INDEX"
CS,JH_CS,4,IMU_MIDDLE_CS_N,CN12-1,chip select,Cavity 2 shared,"Label CS3 MIDDLE"
CS,JH_CS,5,IMU_RING_CS_N,CN11-8,chip select,Cavity 2 shared,"Label CS4 RING"
CS,JH_CS,6,IMU_PINKY_CS_N,CN11-7,chip select,Cavity 2 shared,"Label CS5 PINKY"
INT,JH_INT,1,IMU_THUMB_INT1,CN11-6,interrupt,Cavity 2 ground,"Label INT1 THUMB"
INT,JH_INT,2,GND_INT,CN8-7,ground,interrupt bundle return,"Black wire; dedicated CN8-7 contact"
INT,JH_INT,3,IMU_INDEX_INT1,CN11-5,interrupt,Cavity 2 nearby,"Label INT2 INDEX"
INT,JH_INT,4,IMU_MIDDLE_INT1,CN11-4,interrupt,Cavity 2 shared,"Label INT3 MIDDLE"
INT,JH_INT,5,IMU_RING_INT1,CN11-3,interrupt,Cavity 2 shared,"Label INT4 RING"
INT,JH_INT,6,IMU_PINKY_INT1,CN7-4,interrupt,Cavity 2 shared,"Label INT5 PINKY"
