field,capture_1,capture_2,comparison,status,required_next_action
device_id,,,NOT_AVAILABLE,NOT_CAPTURED,"Connect exact DK and read twice"
revision_id,,,NOT_AVAILABLE,NOT_CAPTURED,"Read twice and compare"
flash_size,,,NOT_AVAILABLE,NOT_CAPTURED,"Read twice and compare"
option_bytes,,,NOT_AVAILABLE,NOT_CAPTURED,"Use read-only display; never apply"
otp_visible_configuration,,,NOT_AVAILABLE,NOT_CAPTURED,"Read only through documented method"
lifecycle_state,,,NOT_AVAILABLE,NOT_CAPTURED,"Do not change lifecycle"
debug_authentication_state,,,NOT_AVAILABLE,NOT_CAPTURED,"Do not bypass authentication"
boot_configuration,,,NOT_AVAILABLE,NOT_CAPTURED,"Correlate with photographed SW1/SW2"
security_attribution,,,NOT_AVAILABLE,NOT_CAPTURED,"No security-state change"
installed_vector_identity,,,NOT_AVAILABLE,NOT_CAPTURED,"Preserve readable image before flashing"
read_protection_state,,,NOT_AVAILABLE,NOT_CAPTURED,"Do not bypass protection"
vddio_voltage_selection,,,NOT_AVAILABLE,NOT_CAPTURED,"Confirm actual 3.3 V setting"
gpio_related_option_state,,,NOT_AVAILABLE,NOT_CAPTURED,"Review selected-pin dependencies"
programmer_version,,,EXECUTABLE_NOT_FOUND,BLOCKED,"Install and record STM32CubeProgrammer"
raw_log_sha256,,,NO_FILE,NOT_CAPTURED,"Hash raw log after capture"
