item,exact_mpn_or_feature,official_source,manufacturer_or_project_geometry,KiCad_implementation,overlay_result,pin_1_status,release_disposition,notes
CN7 DK header,Amphenol 77311-101-06LF,https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/77311.pdf,"6 positions; 2.54 mm pitch; 1.02 +/- 0.08 mm recommended PCB hole; 2.54 mm nominal body width; 15.24 mm nominal body length; 2.54 mm nominal body height; 5.84 mm mating post; 2.41 mm tail","positions X=0.00..12.70 mm at 2.54 mm; all drills 1.02 mm; used P4 has 1.70 mm copper land; DNC P1/P2/P3/P5/P6 are unnumbered 1.02 mm NPTH; mask at holes; no paste; F.Fab 15.10 x 2.40 mm; F.CrtYd 16.10 x 3.40 mm","PASS contact pitch/hole/DNC strategy; FOLLOW-UP body and courtyard overlay","PASS: official MB1939 physical P1 maps to left end and a silkscreen circle marks it","DEVELOPMENT FOOTPRINT ONLY","1.70 mm copper land diameter is a project annulus choice; exact body F.Fab is 0.14 mm shorter than the 15.24 mm nominal body and must be corrected before release"
CN8 DK header,Amphenol 77311-101-08LF,https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/77311.pdf,"8 positions; 2.54 mm pitch; 1.02 +/- 0.08 mm recommended PCB hole; 2.54 mm nominal body width; 20.32 mm nominal body length; 2.54 mm nominal body height; 5.84 mm mating post; 2.41 mm tail","positions X=0.00..17.78 mm at 2.54 mm; all drills 1.02 mm; used P6/P7 have 1.70 mm copper lands; DNC P1/P2/P3/P4/P5/P8 are unnumbered 1.02 mm NPTH; mask at holes; no paste; F.Fab 20.20 x 2.40 mm; F.CrtYd 21.20 x 3.40 mm","PASS contact pitch/hole/DNC strategy; FOLLOW-UP body and courtyard overlay","PASS: official MB1939 physical P1 maps to left end and a silkscreen circle marks it","DEVELOPMENT FOOTPRINT ONLY","Positive-power positions P2/P4/P5/P8 have no copper annulus, number, net, trace, plane, via, test point, or harness conductor; F.Fab is 0.12 mm shorter than nominal"
CN11 DK header,Amphenol 77311-101-08LF,https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/77311.pdf,"8 positions; 2.54 mm pitch; 1.02 +/- 0.08 mm recommended PCB hole; 2.54 mm nominal body width; 20.32 mm nominal body length; 2.54 mm nominal body height; 5.84 mm mating post; 2.41 mm tail","positions X=0.00..17.78 mm at 2.54 mm; all drills 1.02 mm; used P3..P8 have 1.70 mm copper lands; DNC P1/P2 are unnumbered 1.02 mm NPTH; mask at holes; no paste; F.Fab 20.20 x 2.40 mm; F.CrtYd 21.20 x 3.40 mm","PASS contact pitch/hole/DNC strategy; FOLLOW-UP body and courtyard overlay","PASS: official MB1939 physical P1 maps to left end and a silkscreen circle marks it","DEVELOPMENT FOOTPRINT ONLY","1.70 mm copper land diameter is a project annulus choice; F.Fab is 0.12 mm shorter than nominal"
CN12 DK header,Amphenol 77311-101-10LF,https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/77311.pdf,"10 positions; 2.54 mm pitch; 1.02 +/- 0.08 mm recommended PCB hole; 2.54 mm nominal body width; 25.40 mm nominal body length; 2.54 mm nominal body height; 5.84 mm mating post; 2.41 mm tail","positions X=0.00..22.86 mm at 2.54 mm; all drills 1.02 mm; used P1..P7 have 1.70 mm copper lands; DNC P8/P9/P10 are unnumbered 1.02 mm NPTH; mask at holes; no paste; F.Fab 25.30 x 2.40 mm; F.CrtYd 26.30 x 3.40 mm","PASS contact pitch/hole/DNC strategy; FOLLOW-UP body and courtyard overlay","PASS: official MB1939 physical P1 maps to left end; P1 is rectangular and a silkscreen circle marks it","DEVELOPMENT FOOTPRINT ONLY","1.70 mm copper land diameter is a project annulus choice; F.Fab is 0.10 mm shorter than nominal"
Flexible harness header,Molex 5055750620,https://www.molex.com/en-us/products/part-detail/5055750620,"Official 5055750620 DXF SHA-256 3625DE7C74F59F78D35149D7D5566522120F23B992B1D5B67F05462FED959FD2; six 1.00 x 3.00 mm lands at 2.00 mm pitch; two 1.80 x 4.00 mm retention lands at (-2.40,-4.40) and (12.40,-4.40); 16.00 x 8.60 mm body maximum; 18.60 x 9.90 mm restricted envelope; 5.8 mm nominal height","signal pads P1..P6 at X=0.00..10.00 mm; two netless pads named MP; F.Mask and 1:1 F.Paste; F.Fab -3.00..13.00 by -6.10..2.50 mm; Dwgs.User -4.30..14.30 by -7.40..2.50 mm; F.CrtYd expands 0.25 mm","PASS land/body/restricted-envelope geometry; FAIL pinout closure","BLOCKED: official sources show a circuit-1 indicator in the product view but do not unambiguously prove the PCB-layout view's component-side/no-mirror handedness; pad numbering remains provisional","DO NOT PLACE OR ASSIGN","Footprint visibly says CAVITY 1? VERIFY and PIN 1 HANDEDNESS VERIFY; native footprint-only DRC is 0 but cannot verify logical cavity numbering"
CN7 pigtail,Pigtail_1x01_26AWG_StrainRelief,Project engineering feature,"one 0.80 mm finished wire hole with 1.80 mm land; two 2.00 mm NPTH strain-relief holes; direct stripped-wire termination","project-local footprint; no manufacturer MPN, drawing, crimp, insulation-support, pull-force, or bend-envelope proof","CLASS B PROJECT GEOMETRY ONLY","P1 rectangular","GATE P PHYSICAL QUALIFICATION","Assembly method, wire stripping, soldering, insulation support, clamp load, flex life, sweat exposure and cable approach remain unmeasured"
CN8 pigtail,Pigtail_1x03_26AWG_StrainRelief,Project engineering feature,"three 0.80 mm finished wire holes at 2.54 mm pitch with 1.80 mm lands; two 2.00 mm NPTH strain-relief holes","project-local footprint; no manufacturer MPN or controlled assembly drawing","CLASS B PROJECT GEOMETRY ONLY","P1 rectangular","GATE P PHYSICAL QUALIFICATION","CN8 P6 branches to two ground pigtails and P7 supplies the third; no positive-power conductor"
CN11 pigtail,Pigtail_1x06_26AWG_StrainRelief,Project engineering feature,"six 0.80 mm finished wire holes at 2.54 mm pitch with 1.80 mm lands; two 2.00 mm NPTH strain-relief holes","project-local footprint; no manufacturer MPN or controlled assembly drawing","CLASS B PROJECT GEOMETRY ONLY","P1 rectangular","GATE P PHYSICAL QUALIFICATION","Six local pads are direct breakout terminations, not Molex cavity numbering"
CN12 pigtail,Pigtail_1x07_26AWG_StrainRelief,Project engineering feature,"seven 0.80 mm finished wire holes at 2.54 mm pitch with 1.80 mm lands; two 2.00 mm NPTH strain-relief holes","project-local footprint; no manufacturer MPN or controlled assembly drawing","CLASS B PROJECT GEOMETRY ONLY","P1 rectangular","GATE P PHYSICAL QUALIFICATION","Seven local pads are direct breakout terminations, not Molex cavity numbering"
Carrier clamp,Carrier_Clamp_2x_M2.5_NPTH_P10mm,Project engineering feature,"two 2.70 mm NPTH holes on 10.00 mm centers; 14.00 x 3.40 mm courtyard","project-local no-BOM mechanical footprint","CLASS B PROJECT GEOMETRY ONLY","Not applicable","GATE P PHYSICAL QUALIFICATION","Exact clamp hardware, carrier material, load, tolerance, skin clearance and independent seating remain unproven"
CN12 series options,R1/R2 standard R_0603_1608Metric,KiCad 9 standard library plus schematic partition,"0603 metric two-pad resistor land pattern","R1 partitions DK_IMU_SPI_SCK_TBD to IMU_SPI_SCK; R2 partitions DK_IMU_SPI_MOSI_TBD to IMU_SPI_MOSI","PASS logical partition; no final stuffing/value decision","P1 follows standard footprint","DRAFT ONLY","Two coarse SMD parts; analyzer fiducial note remains informational while fabrication is prohibited"
