evidence_id,source_role,manufacturer,document_or_part,revision_or_date,exact_applicability,controlled_finding,orientation_finding,url,status
MOL-01,Controlling technical,Molex,5055750620 exact product record,"reviewed 2026-07-20",Exact part,"6 circuits; vertical SMT; 2.00 mm pitch; 0.38 um gold; natural; positive lock; page says limited information","No public component-side pad mapping or exact ECAD/STEP link exposed",https://www.molex.com/en-us/products/part-detail/5055750620,PASS exact identity / BLOCK orientation
MOL-02,Controlling technical,Molex,5055750002-SD Product Customer Drawing,"Rev B; released 2023-11-06 03:04:33",Sheet 5 explicitly lists 5055750620,"URL basename 5055750291_sd.pdf is an asset locator; title block controls document identity; circuit 1 and recommended PCB pattern are shown","Pattern is not labeled component side or solder side; mirror state is unstated",https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/505/505575/5055750291_sd.pdf,BLOCKED
MOL-03,Controlling technical,Molex,5055700002-PS,"Rev A6; approved 2025-04-25",Applies to 505575 vertical series,"Maps 505575 family to drawing 5055750002-SD; electrical/mechanical product requirements","No circuit-1-to-component-side convention",https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/productspecificationpdf/505/505570/5055700002-PS-000.pdf,INCOMPLETE for orientation
MOL-04,Controlling technical,Molex,5055700001 application specification,"Rev F / A03; approved 2023-08-04",Applies to onboard vertical 505575,"Assembly and handling requirements","No component-side; solder-side; PCB-layout; circuit-1; or view convention",https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/applicationspecificationspdf/505/505570/5055700001-A03.pdf,INCOMPLETE for orientation
MOL-05,Controlling technical,Molex,5055759200 packaging specification,"Rev B; approved 2023-03-15",Part-number pattern includes exact 5055750620,"Reel and packaging controls only","No land-pattern orientation",https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/packagingspecificationpdf/505/505575/5055759200-200.pdf,NOT ORIENTATION EVIDENCE
MOL-06,Controlling technical,Molex,5055700001 mating-housing drawing,"Rev C; released 2023-08-04",Explicitly lists 5055700601,"Housing geometry and circuit-1 marker","Does not connect header PCB lands to component-side cavity 1",https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/505/505570/5055700601_sd.pdf,INCOMPLETE for orientation
MOL-07,Related technical only,Molex,5055750691 official 2D sheet,"Rev A; 2022-01-10",Different six-circuit order code,"Related family geometry; 0.10 um gold; black; with pickup tape","Says PCB LAYOUT but not component side; not exact-part handedness evidence",https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/2ddrawingdxfadobe2d/505/505575/5055750691.pdf,REJECT for exact-part orientation
MOL-08,Search result,Molex,Exact 5055750620 ECAD/DXF/STEP,"reviewed 2026-07-20",Exact part,"No publicly accessible exact symbol; footprint; DXF/2D; STEP/3D model located; absence is not proof none exists","No additional view transformation obtained",https://www.molex.com/en-us/products/part-detail/5055750620,NOT FOUND PUBLICLY
MOL-09,Local provenance audit,Project,Historical SHA-256 3625DE7C74F59F78D35149D7D5566522120F23B992B1D5B67F05462FED959FD2,"Proposal 015J record",Claimed exact DXF source cannot be reproduced,"No raw asset; URL; title; or Git-history copy remains","Bare hash is provenance unresolved and unusable as controlled technical evidence",local-project-record,FAIL provenance
ALT-01,Controlling technical,JST,ZE series eZE catalog,"current catalog retrieved 2026-07-20",BM06B-ZESS-TBT / ZER-06V-S / SZE-002T-P0.3,"Vertical SMT top-entry; secure lock; incorrect-mating prevention; AWG28-24 and 0.76-1.20 mm OD for selected terminal","PCB layout explicitly viewed from connector mounting surface and labels No. 1 circuit",https://www.jst-mfg.com/product/pdf/eng/eZE.pdf,PASS
ALT-02,Controlling technical,JST,ZE product/CAD profile,"reviewed 2026-07-20",ZE series,"Manufacturer product profile and CAD access remain published","Supports current documented product family",https://www.jst-mfg.com/product/index.php?lang=2&series=470,PASS
ALT-03,Controlling technical,Alpha Wire,422607 exact wire record,"reviewed 2026-07-20",Selected development wire,"26 AWG 7/34; 0.039 +/- 0.002 in OD = approximately 0.940-1.041 mm","Full tolerance fits SZE-002T-P0.3 0.76-1.20 mm range",https://www.alphawire.com/products/wire/hook-up-wire/premium/422607,PASS for JST ZE
ALT-04,Controlling technical,JST,GH series eGH catalog,"current catalog retrieved 2026-07-20",BM06B-GHS-TBT / GHR-06V-S / SSHL-002T-P0.2,"Vertical SMT; secure outer lock; 1 A at AWG26; terminal OD range 0.76-1.00 mm","PCB layout explicitly viewed from connector mounting surface and labels No. 1 circuit",https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,FAIL selected-wire max OD
ALT-05,Controlling technical,TE Connectivity,3-794636-6 exact product record,"Active; reviewed 2026-07-20",Exact six-position header,"Vertical SMT; polarized; locking tab; current official CAD and documents","Exact drawing controls layout",https://www.te.com/en/product-3-794636-6.html,PASS technical / poor wearable size
ALT-06,Controlling technical,TE Connectivity,794636 customer drawing,"Rev K1; 2024-08-22",Includes exact 3-794636-6,"Circuit number 1 shown; 13.00 x 6.86 x 9.24 mm six-position header","Explicit RECOMMENDED PCB LAYOUT (COMPONENT SIDE)",https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocFormat=pdf&DocLang=English&DocNm=794636&DocType=Customer+Drawing&PartCntxt=3-794636-6,PASS orientation
ALT-07,Controlling technical,TE Connectivity,Micro MATE-N-LOK application specification,114-13000,"Micro MATE-N-LOK family","Harness; crimp; retention; and cable-management controls","No ambiguity in conjunction with exact customer drawing",https://www.te.com/content/dam/te-com/documents/appliances/global/micro-mate-n-lok-connectors-application-specification.pdf,PASS documentation / wearable penalty
ALT-08,Controlling technical,Hirose,DF57H series catalog,"current catalog retrieved 2026-07-20",DF57H-6P-1.2V(21) / DF57AH-6S-1.2C / DF57-2628SCF(41),"Vertical SMT; low profile; lock/key; selected contact OD limit 0.88 mm","Contact No.1 is shown but layout is not explicitly named component side",https://www.hirose.com/en/product/document?clcode=CL0666-0108-8-21&documentid=en_DF57_CAT&documenttype=Catalog&lang=en&productname=DF57H-6P-1.2V%2821%29&series=DF57,FAIL wire and strict view gates
ALT-09,Controlling tooling,JST France,HAND TOOLS list,"reviewed 2026-07-20; revision not stated",SZE-002T-P0.3,"Manufacturer-controlled regional list maps exact terminal SZE-002T-P0.3 to hand tool YRS-1460","Tooling evidence only; no footprint-orientation role",https://www.jst.fr/core/file.get?path=doc%2Fjst%2Fpdf%2Flistehandtools.pdf,PASS tooling mapping
AVL-01,Availability support only,DigiKey/JST,BM06B-ZESS-TBT,"snapshot reviewed 2026-07-20",Exact recommended header,"Distributor lists active and stocked; quantity is time-variable","Not controlling technical evidence and not purchasing authorization",https://www.digikey.com/en/products/detail/jst-sales-america-inc/BM06B-ZESS-TBT/1886990,PASS availability snapshot
AVL-02,Availability support only,DigiKey/JST,ZER-06V-S,"snapshot reviewed 2026-07-20",Exact recommended housing,"Distributor lists active and stocked; quantity is time-variable","Not controlling technical evidence and not purchasing authorization",https://www.digikey.com/en/products/detail/jst-sales-america-inc/ZER-06V-S/1887021,PASS availability snapshot
AVL-03,Availability support only,DigiKey/JST,SZE-002T-P0.3,"snapshot reviewed 2026-07-20",Exact recommended terminal,"Distributor lists active and stocked; quantity is time-variable","Not controlling technical evidence and not purchasing authorization",https://www.digikey.com/en/products/detail/jst-sales-america-inc/SZE-002T-P0-3/1887218,PASS availability snapshot
