input_id,description,component_or_scope,class,units,min,nom,max,source,source_date,confidence,disposition,closing_use,notes
SSW_MPN_SET,Fixed DK socket set,CN7/CN8/CN11/CN12,manufacturer,text,,SSW-106-22-L-S-VS; SSW-108-22-L-S-VS x2; SSW-110-22-L-S-VS,,Official ST MB1939 BOM and native CAD,2026-07-14,HIGH,CONTROLLED,identity,Development cross-mate only
HDR_MPN_SET,Selected mating header set,Interposer,manufacturer,text,,77311-101-06LF; 77311-101-08LF x2; 77311-101-10LF,,Amphenol exact product pages,2026-07-14,HIGH,CONTROLLED,identity,Production cross-mating approval not claimed
SSW_HEIGHT,DK board face to nominal socket extremum,All SSW strips,board,mm,,9.780,,Official ST MB1939 embedded STEP/native CAD,2024-12-06,MEDIUM,MEASUREMENT_REQUIRED,vertical,Nominal CAD height only; no min/max or seating datum
SSW_BODY_HEIGHT_DRAWING,SSW housing height excluding stated 1.27 mm feature,SSW -22 -VS,manufacturer,mm,,8.51,,Samtec SSW series print AT01 REF dimension,2026-07-14,MEDIUM,OFFICIAL_CLOSURE_REQUIRED,vertical,REF dimension is not toleranced
SSW_INSERT_MIN,Published minimum insertion depth,SSW family,manufacturer,mm,3.68,3.68,3.68,Samtec SSW catalog page F-226,2026-07-14,HIGH,CONTROLLED,engagement,Meaning relative to bottoming/contact wipe still needs written clarification
SSW_INSERT_MAX,Published maximum insertion depth,SSW family,manufacturer,mm,6.35,6.35,6.35,Samtec SSW catalog page F-226,2026-07-14,HIGH,CONTROLLED,engagement,Meaning relative to bottoming/contact wipe still needs written clarification
SSW_BOW_RATIO,Maximum allowable connector body bow,SSW series,manufacturer,mm_per_mm,0,0,0.003,Samtec SSW series print note 3,2026-07-14,HIGH,CONTROLLED,coplanarity,Drawing states 0.003 inch/inch
SSW_SWAY,Maximum allowable contact sway,SSW series,manufacturer,degree,-2,0,2,Samtec SSW series print note 4,2026-07-14,HIGH,CONTROLLED,lateral,Sway is not a published system-level capture allowance
SSW_ROW_VARIATION,Maximum variation between rows,SSW multi-row only,manufacturer,mm,0,0,0.25,Samtec SSW series print note 5,2026-07-14,HIGH,NOT_APPLICABLE,lateral,Selected sockets are single row
SSW_GENERAL_XXX,General three-decimal drawing tolerance,SSW series,manufacturer,mm,-0.13,0,0.13,Samtec SSW series print title block,2026-07-14,HIGH,CONTROLLED_LOCAL_ONLY,sensitivity,Does not apply to REF dimensions and is not a complete assembly tolerance
