gate_id,topic,published_or_digital_evidence,current_state,closure_required,credit_allowed_now
M01,Circuit-1 absolute orientation,"JST catalog explicitly maps No. 1 circuit in connector-mounting-surface layout to rightmost land; project pad 1 matches","DIGITAL PASS","Retain raw/visual footprint review under change control","Yes - digital pad numbering only"
M02,Land-pattern geometry,"Six signal lands and two retention lands match released JST catalog; validator passes","DIGITAL PASS","Physical assembly coupon or first-article inspection before release","Yes - schematic footprint assignment only"
M03,Maximum unmated body envelope,"JST publishes nominal/reference B=13.5 mm depth=5.8 mm height=7.5 mm without maximum tolerances","OPEN","Measure controlled parts or obtain a publicly released maximum-envelope source","No placement keepout or fit credit"
M04,Mated housing and latch envelope,"Released catalog does not publish a complete maximum mated/latch envelope","OPEN","Measure actual BM06B-ZESS-TBT plus ZER-06V-S assembly under controlled internal procedure","No fit or wearable credit"
M05,Outer-lock release-face access,"Mating interface faces +Z and insertion travel is -Z; in-plane release face is not tied to project +/-Y by published layout","OPEN","Internal physical orientation and access inspection","No latch-access credit"
M06,Cable bend and snag envelope,"No released maximum bend snag or bundle envelope was located","OPEN","Dimension 50 mm harness routing and minimum bend under internal prototype test","No keepout or wearable credit"
M07,Strain relief,"Conceptual carrier/shroud and separate bundle clamp only","OPEN","Dimension build and load-test an independently supported strain-relief design","No retention or load credit"
M08,Crimp process,"Wire gauge/OD and YRS-1460 applicability pass digitally","OPEN","Crimp-height pull-force brush-position sectioning terminal-retention and flex-life acceptance test","No physical crimp-quality credit"
M09,Harness length signal integrity,"50 mm preferred and 100 mm provisional maximum","OPEN","Scope/logic-analyzer testing at intended SPI edge rate and physical routing","No 100 mm performance credit"
M10,Cross-port mis-mating,"No publicly documented mutually incompatible six-position ZE key variants located; all six directed wrong-port cases unsafe and three are critical","OPEN - HIGH PRIORITY","Dimension and test in-house three-port keyed carrier/shroud or choose separately authorized keyed architecture","Labels/colors are inspection aids only"
M11,Solder paste and stencil,"Footprint applies zero local paste adjustment; effective opening inherits future board/process rules because JST publishes no reduction/stencil rule","OPEN","Assembly-process review and test coupon","No manufacturing-process credit"
M12,PCB placement and courtyard,"Project courtyard is a documented 0.50 mm copper-envelope expansion","OPEN","Separate main-PCB placement proposal after maximum body/latch/cable/skin gates close","No main-PCB placement authorization"
M13,Wearable and skin contact,"No thermal snag abrasion sweat cleaning or skin-contact test exists","OPEN","Controlled wearable qualification","No wearable qualification credit"
M14,Actual mating and retention,"No hardware was purchased built or mated in Proposal 015M","OPEN","Internal fit insertion extraction retention and repeated-cycle tests","No physical fit claim"
M15,Asymmetric power/backfeed,"No energized wrong-port or DK-to-board backfeed test was performed","OPEN","Current-limited internal bench test under existing power bring-up plan","No hot-plug or backfeed safety claim"
