connector,pin,official_DK_name,STM32_or_role,classification,PCB_glove_net_or_alias,DK_board_view,breakout_mating_view,cable_view_group,cable_cavity,breakout_contact_disposition,notes
CN7,1,A0,analog,unused,NONE,"MB1939 bottom/mating face pin 1","Mirror once from MB1939 bottom view; marked pin 1",NONE,NONE,"77311 contact present; isolated NPTH/no copper/no solder/no wire","Visible DNC"
CN7,2,A1,analog,unused,NONE,"Pin 2 follows official progression","Opposing mating face; same electrical pin number",NONE,NONE,"Isolated NPTH/no copper/no solder/no wire","Visible DNC"
CN7,3,A2,analog,unused,NONE,"Pin 3 follows official progression","Opposing mating face; same electrical pin number",NONE,NONE,"Isolated NPTH/no copper/no solder/no wire","Visible DNC"
CN7,4,A3,PD11,used signal,IMU_PINKY_INT1 / IMU_INT5,"Pin 4 at exact native pad coordinate","Opposing mating face; route only pin 4",INT,6,"Copper pad and labeled pigtail","PD11 digital path; PA12 ADC path must remain unused/high impedance"
CN7,5,A4/SDA,unused,unused,NONE,"Pin 5 follows official progression","Opposing mating face; same electrical pin number",NONE,NONE,"Isolated NPTH/no copper/no solder/no wire","Visible DNC"
CN7,6,A5/SCL,unused,unused,NONE,"Pin 6 follows official progression","Opposing mating face; same electrical pin number",NONE,NONE,"Isolated NPTH/no copper/no solder/no wire","Visible DNC"
CN8,1,NC,none,unused,NONE,"MB1939 bottom/mating face pin 1","Mirror once from MB1939 bottom view; marked pin 1",NONE,NONE,"Isolated NPTH/no copper/no solder/no wire","Visible DNC"
CN8,2,IOREF,DK positive rail,"DK POSITIVE POWER — NO ELECTRICAL CONNECTION",NONE,"Pin 2 follows official progression","Opposing mating face; red DNC mark",NONE,NONE,"Isolated NPTH/no copper/no solder/no wire/no test point","No harness conductor under any condition"
CN8,3,RESET,control,unused,NONE,"Pin 3 follows official progression","Opposing mating face; same electrical pin number",NONE,NONE,"Isolated NPTH/no copper/no solder/no wire","Visible DNC; reset is not exported"
CN8,4,3V3,DK positive rail,"DK POSITIVE POWER — NO ELECTRICAL CONNECTION",NONE,"Pin 4 follows official progression","Opposing mating face; red DNC mark",NONE,NONE,"Isolated NPTH/no copper/no solder/no wire/no test point","Must remain open to +3V3_IMU and every other glove net"
CN8,5,5V,DK positive rail,"DK POSITIVE POWER — NO ELECTRICAL CONNECTION",NONE,"Pin 5 follows official progression","Opposing mating face; red DNC mark",NONE,NONE,"Isolated NPTH/no copper/no solder/no wire/no test point","Must remain open to +5V_EXT +5V_FUSED +5V_PROTECTED +5V_REG_IN"
CN8,6,GND,signal reference,used ground,GND,"Pin 6 follows official progression","Opposing mating face; one copper ground node",SPI/CS,4/2,"Copper pad; two labeled black pigtail branches A and B","Branch after the DK contact only; never a positive-rail branch"
CN8,7,GND,signal reference,used ground,GND,"Pin 7 follows official progression","Opposing mating face; one copper ground node",INT,2,"Copper pad and black pigtail","Ground-first/last sequence required"
